Time,Value
16:26:45,12
16:26:45,14
16:26:45,20
16:26:45,21
16:26:45,16
16:26:45,9
16:26:45,5
16:26:45,7
16:26:45,11
16:26:45,10
16:26:45,4
16:26:45,7
16:26:45,10
16:26:45,12
16:26:45,14
16:26:45,15
16:26:45,17
16:26:45,13
16:26:45,8
16:26:45,10
16:26:45,16
16:26:45,27
16:26:45,41
16:26:45,52
16:26:45,56
16:26:45,58
16:26:45,62
16:26:45,60
16:26:45,53
16:26:45,46
16:26:45,43
16:26:45,42
16:26:45,39
16:26:45,31
16:26:45,22
16:26:45,11
16:26:45,6
16:26:45,7
16:26:45,8
16:26:45,6
16:26:45,5
16:26:45,10
16:26:45,26
16:26:45,42
16:26:45,51
16:26:45,45
16:26:45,31
16:26:45,23
16:26:45,20
16:26:45,21
16:26:45,24
16:26:45,25
16:26:45,27
16:26:45,34
16:26:45,45
16:26:45,55
16:26:45,61
16:26:45,58
16:26:45,49
16:26:45,41
16:26:45,36
16:26:45,38
16:26:45,49
16:26:45,60
16:26:45,62
16:26:45,50
16:26:45,36
16:26:45,26
16:26:45,22
16:26:45,18
16:26:45,12
16:26:45,8
16:26:45,15
16:26:45,25
16:26:45,23
16:26:45,18
16:26:45,19
16:26:45,23
16:26:45,30
16:26:45,40
16:26:45,47
16:26:45,49
16:26:45,47
16:26:45,42
16:26:45,39
16:26:45,38
16:26:45,38
16:26:45,36
16:26:45,36
16:26:45,42
16:26:45,48
16:26:45,48
16:26:45,44
16:26:45,40
16:26:45,43
16:26:45,45
16:26:45,39
16:26:45,29
16:26:45,18
16:26:45,8
16:26:45,5
16:26:45,8
16:26:45,8
16:26:45,8
16:26:45,8
16:26:45,9
16:26:45,12
16:26:45,19
16:26:45,30
16:26:45,40
16:26:45,47
16:26:45,47
16:26:45,39
16:26:45,34
16:26:45,34
16:26:45,31
16:26:45,28
16:26:45,35
16:26:45,51
16:26:45,70
16:26:45,84
16:26:45,87
16:26:45,84
16:26:45,73
16:26:45,57
16:26:45,42
16:26:45,32
16:26:45,30
16:26:45,28
16:26:45,24
16:26:45,13
16:26:45,13
16:26:45,28
16:26:45,41
16:26:45,50
16:26:45,53
16:26:45,55
16:26:45,60
16:26:45,62
16:26:45,56
16:26:45,49
16:26:45,46
16:26:45,45
16:26:45,42
16:26:45,39
16:26:45,37
16:26:45,40
16:26:45,46
16:26:45,49
16:26:45,49
16:26:45,43
16:26:45,36
16:26:45,33
16:26:45,32
16:26:45,32
16:26:45,29
16:26:45,21
16:26:45,13
16:26:45,7
16:26:45,4
16:26:45,3
16:26:45,4
16:26:45,7
16:26:45,9
16:26:45,12
16:26:45,17
16:26:45,21
16:26:45,27
16:26:45,34
16:26:45,45
16:26:45,52
16:26:45,46
16:26:45,38
